epoch,train_loss,val_loss,miou
1,1.0658973203802382,0.9095578812455352,0.06149590190557625
2,0.9193903686355959,0.8587672775673332,0.06663024878965396
3,0.8540557145584954,0.8273401944286025,0.074393598997717
4,0.8106778050680359,0.8118718160572448,0.0729281553477273
5,0.7779806012599646,0.7993261006512402,0.07747354225211453
6,0.7501589865529342,0.7616278966544687,0.09551196318543294
7,0.7264137963337336,0.7509263088708932,0.09867133714567328
8,0.7066700058277574,0.7373942310551237,0.10369245818145328
9,0.6898388035844494,0.7468816839081818,0.11854157507479195
10,0.6761111434458404,0.7273423759586013,0.12230319395044928
11,0.6639541618378454,0.7282506901204477,0.1237734606902901
12,0.6533778042940497,0.7265113839989067,0.1283195773112382
13,0.6439614450482929,0.7184396122104467,0.1356285256343538
14,0.6352954175181785,0.7147930919501292,0.12454143119117572
15,0.6275147204200434,0.7131831395416676,0.1356233877318551
16,0.6197855561961509,0.7096396621964254,0.1426122570877488
17,0.6106007893060296,0.6889369206301087,0.1350508402431702
18,0.5772798242206734,0.6601695779108554,0.14893377619907533
19,0.5520160437291445,0.6460731307271392,0.15973855879871127
20,0.5407739003816783,0.6352056012884333,0.15363907473660468
21,0.5321203184279906,0.6254736710946752,0.15967831567141794
22,0.5252728839247445,0.6225552067142556,0.16535784632763337
23,0.5192550340797053,0.6192696438340762,0.16473410286629822
24,0.5136582275831193,0.6225621236780425,0.16661218778887169
25,0.5083932796194097,0.6082863608845648,0.16772814530794503
26,0.5031457845672666,0.6036315603302437,0.17383598434530936
27,0.4977239285812317,0.6039763639581196,0.17731447366663297
28,0.49312738393514594,0.6179905033866108,0.1696104746022749
29,0.4888912016925784,0.6204064044444796,0.1797060974362347
30,0.48455456465486096,0.6218403268995825,0.18118284057232217
31,0.47557263696260943,0.5847728667359942,0.18428647256616382
32,0.4725046982125621,0.605755312610835,0.18418670042977314
33,0.4698771049355953,0.6228941573041052,0.1849396453962338
34,0.4675923701826628,0.6006890194775985,0.1817791860325138
35,0.46478278892982083,0.6129232964042387,0.18197704453398367
36,0.459691873247962,0.5927225742861403,0.18363793134802223
37,0.4573393800288379,0.5935659500990832,0.1887783404706093
38,0.45488666942498895,0.592516730629192,0.1892408806327429
